id,source
ParlaMint-NO_2010-12-08,s101208
ParlaMint-NO_2011-06-01,s110601
ParlaMint-NO_2011-05-27,s110527
ParlaMint-NO_2010-11-10,s101110
ParlaMint-NO_2010-12-06,s101206
ParlaMint-NO_2011-02-03,s110203
ParlaMint-NO_2010-10-05,s101005
ParlaMint-NO_2011-03-15,s110315
ParlaMint-NO_2011-04-14,s110414
ParlaMint-NO_2010-11-17,s101117
ParlaMint-NO_2010-10-02,s101002
ParlaMint-NO_2010-12-03,s101203
ParlaMint-NO_2011-03-09,s110309
ParlaMint-NO_2010-11-11,s101111
ParlaMint-NO_2010-12-13,s101213
ParlaMint-NO_2010-10-21,s101021
ParlaMint-NO_2011-03-22,s110322
ParlaMint-NO_2010-10-01,s101001
ParlaMint-NO_2010-11-16,s101116
ParlaMint-NO_2011-06-14,s110614
ParlaMint-NO_2011-02-23,s110223
ParlaMint-NO_2011-06-07,s110607
ParlaMint-NO_2011-05-23,s110523
ParlaMint-NO_2011-04-28,s110428
ParlaMint-NO_2010-10-29,s101029
ParlaMint-NO_2011-03-21,s110321
ParlaMint-NO_2011-01-19,s110119
ParlaMint-NO_2011-06-15,s110615
ParlaMint-NO_2011-04-04,s110404
ParlaMint-NO_2011-02-16,s110216
ParlaMint-NO_2011-03-28,s110328
ParlaMint-NO_2010-11-30,s101130
ParlaMint-NO_2010-12-14,s101214
ParlaMint-NO_2011-06-09,s110609
ParlaMint-NO_2011-01-11,s110111
ParlaMint-NO_2010-11-26,s101126
ParlaMint-NO_2011-01-12,s110112
ParlaMint-NO_2010-10-22,s101022
ParlaMint-NO_2010-10-06,s101006
ParlaMint-NO_2011-05-19,s110519
ParlaMint-NO_2011-01-18,s110118
ParlaMint-NO_2011-06-08,s110608
ParlaMint-NO_2011-03-14,s110314
ParlaMint-NO_2010-11-12,s101112
ParlaMint-NO_2011-06-17,s110617
ParlaMint-NO_2011-03-10,s110310
ParlaMint-NO_2011-05-30,s110530
ParlaMint-NO_2011-02-08,s110208
ParlaMint-NO_2010-12-01,s101201
ParlaMint-NO_2011-02-10,s110210
ParlaMint-NO_2011-06-10,s110610
ParlaMint-NO_2010-12-15,s101215
ParlaMint-NO_2010-12-07,s101207
ParlaMint-NO_2011-05-20,s110520
ParlaMint-NO_2010-10-20,s101020
ParlaMint-NO_2010-10-28,s101028
ParlaMint-NO_2011-01-13,s110113
ParlaMint-NO_2011-05-18,s110518
ParlaMint-NO_2011-05-03,s110503
ParlaMint-NO_2011-08-01,s110801
ParlaMint-NO_2011-04-13,s110413
ParlaMint-NO_2011-05-02,s110502
ParlaMint-NO_2010-12-09,s101209
ParlaMint-NO_2010-12-02,s101202
ParlaMint-NO_2011-04-11,s110411
ParlaMint-NO_2011-04-05,s110405
ParlaMint-NO_2010-10-11,s101011
ParlaMint-NO_2011-05-26,s110526
ParlaMint-NO_2011-04-12,s110412
ParlaMint-NO_2011-04-26,s110426
ParlaMint-NO_2011-03-23,s110323
ParlaMint-NO_2011-05-05,s110505
ParlaMint-NO_2011-06-16,s110616
ParlaMint-NO_2011-02-09,s110209
ParlaMint-NO_2011-03-29,s110329
ParlaMint-NO_2011-05-25,s110525
ParlaMint-NO_2011-04-06,s110406
ParlaMint-NO_2011-05-04,s110504
ParlaMint-NO_2011-06-06,s110606
ParlaMint-NO_2010-12-16,s101216
ParlaMint-NO_2011-03-16,s110316
ParlaMint-NO_2010-11-23,s101123
ParlaMint-NO_2010-12-10,s101210
ParlaMint-NO_2011-05-31,s110531
ParlaMint-NO_2010-11-19,s101119
ParlaMint-NO_2011-05-24,s110524
ParlaMint-NO_2011-09-30,s110930
ParlaMint-NO_2011-04-27,s110427
ParlaMint-NO_2011-02-02,s110202
ParlaMint-NO_2010-10-12,s101012
ParlaMint-NO_2011-02-17,s110217
ParlaMint-NO_2010-11-24,s101124
ParlaMint-NO_2010-11-25,s101125
ParlaMint-NO_2010-10-27,s101027
ParlaMint-NO_2010-11-18,s101118
ParlaMint-NO_2011-05-09,s110509
ParlaMint-NO_2010-10-04,s101004
ParlaMint-NO_2011-02-24,s110224
ParlaMint-NO_2011-01-17,s110117
ParlaMint-NO_2011-05-10,s110510
ParlaMint-NO_2011-02-22,s110222
ParlaMint-NO_2010-12-17,s101217
ParlaMint-NO_2011-03-30,s110330
ParlaMint-NO_2010-10-13,s101013
ParlaMint-NO_2014-02-04,s140204
ParlaMint-NO_2014-06-04,s140604
ParlaMint-NO_2014-05-13,s140513
ParlaMint-NO_2013-05-15,s130515
ParlaMint-NO_2014-02-12,s140212
ParlaMint-NO_2014-05-14,s140514
ParlaMint-NO_2013-10-07,s131007
ParlaMint-NO_2013-10-01,s131001
ParlaMint-NO_2013-12-13,s131213
ParlaMint-NO_2013-11-21,s131121
ParlaMint-NO_2014-06-16,s140616
ParlaMint-NO_2013-02-13,s130213
ParlaMint-NO_2014-01-14,s140114
ParlaMint-NO_2013-05-27,s130527
ParlaMint-NO_2013-12-03,s131203
ParlaMint-NO_2013-12-12,s131212
ParlaMint-NO_2013-04-24,s130424
ParlaMint-NO_2014-04-03,s140403
ParlaMint-NO_2014-01-09,s140109
ParlaMint-NO_2013-03-05,s130305
ParlaMint-NO_2014-04-01,s140401
ParlaMint-NO_2014-03-20,s140320
ParlaMint-NO_2014-03-18,s140318
ParlaMint-NO_2014-03-25,s140325
ParlaMint-NO_2014-05-23,s140523
ParlaMint-NO_2014-06-12,s140612
ParlaMint-NO_2013-05-23,s130523
ParlaMint-NO_2013-10-08,s131008
ParlaMint-NO_2014-05-21,s140521
ParlaMint-NO_2014-05-22,s140522
ParlaMint-NO_2013-10-23,s131023
ParlaMint-NO_2014-03-26,s140326
ParlaMint-NO_2013-02-20,s130220
ParlaMint-NO_2013-06-07,s130607
ParlaMint-NO_2013-02-12,s130212
ParlaMint-NO_2013-02-14,s130214
ParlaMint-NO_2013-06-06,s130606
ParlaMint-NO_2013-02-05,s130205
ParlaMint-NO_2014-04-10,s140410
ParlaMint-NO_2013-06-20,s130620
ParlaMint-NO_2013-04-30,s130430
ParlaMint-NO_2013-12-06,s131206
ParlaMint-NO_2014-06-05,s140605
ParlaMint-NO_2013-10-09,s131009
ParlaMint-NO_2013-04-02,s130402
ParlaMint-NO_2013-12-16,s131216
ParlaMint-NO_2013-03-20,s130320
ParlaMint-NO_2013-06-19,s130619
ParlaMint-NO_2014-05-27,s140527
ParlaMint-NO_2013-06-21,s130621
ParlaMint-NO_2013-12-10,s131210
ParlaMint-NO_2014-02-27,s140227
ParlaMint-NO_2013-05-08,s130508
ParlaMint-NO_2013-02-19,s130219
ParlaMint-NO_2013-05-22,s130522
ParlaMint-NO_2013-06-03,s130603
ParlaMint-NO_2014-03-05,s140305
ParlaMint-NO_2013-11-28,s131128
ParlaMint-NO_2013-05-21,s130521
ParlaMint-NO_2014-02-13,s140213
ParlaMint-NO_2013-04-23,s130423
ParlaMint-NO_2013-03-19,s130319
ParlaMint-NO_2014-06-17,s140617
ParlaMint-NO_2013-06-04,s130604
ParlaMint-NO_2013-01-22,s130122
ParlaMint-NO_2013-10-24,s131024
ParlaMint-NO_2014-01-29,s140129
ParlaMint-NO_2014-04-08,s140408
ParlaMint-NO_2014-01-07,s140107
ParlaMint-NO_2013-01-24,s130124
ParlaMint-NO_2014-05-06,s140506
ParlaMint-NO_2013-05-14,s130514
ParlaMint-NO_2013-11-20,s131120
ParlaMint-NO_2013-03-18,s130318
ParlaMint-NO_2014-05-07,s140507
ParlaMint-NO_2013-10-14,s131014
ParlaMint-NO_2013-05-28,s130528
ParlaMint-NO_2013-01-09,s130109
ParlaMint-NO_2013-05-16,s130516
ParlaMint-NO_2013-04-29,s130429
ParlaMint-NO_2014-03-06,s140306
ParlaMint-NO_2014-06-20,s140620
ParlaMint-NO_2014-02-26,s140226
ParlaMint-NO_2013-01-17,s130117
ParlaMint-NO_2014-06-10,s140610
ParlaMint-NO_2013-12-19,s131219
ParlaMint-NO_2013-04-10,s130410
ParlaMint-NO_2014-09-30,s140930
ParlaMint-NO_2014-05-08,s140508
ParlaMint-NO_2013-12-09,s131209
ParlaMint-NO_2014-05-28,s140528
ParlaMint-NO_2014-06-11,s140611
ParlaMint-NO_2013-01-16,s130116
ParlaMint-NO_2014-02-11,s140211
ParlaMint-NO_2013-12-11,s131211
ParlaMint-NO_2014-02-05,s140205
ParlaMint-NO_2013-06-10,s130610
ParlaMint-NO_2013-03-21,s130321
ParlaMint-NO_2013-03-13,s130313
ParlaMint-NO_2013-06-12,s130612
ParlaMint-NO_2013-03-06,s130306
