,fornavn,etternavn,periode_liste
2687,Ole Kristian,Udnes,{1997-2001}
2688,Ola,Prestegarden,{1997-2001}
2689,Ole,Tinghaug,{1997-2001}
2690,Olav,Pedersen,{1997-2001}
2691,Oscar,Eide,{1997-2001}
2692,Olav,Teppen,{1997-2001}
2693,Ove,Rullestad,{1997-2001}
2694,Per,Norheim,{1997-2001}
2695,Pål,Graff,{1997-2001}
2696,Pauline Gundersen,Nordbø,{1997-2001}
2697,Ragnhild,Hellemo,{1997-2001}
2698,Per,Hvamstad,{1997-2001}
2699,Reidun,Bakken,{1997-2001}
2701,Roy,Gyberg,{1997-2001}
2702,Roy,Høibo,{1997-2001}
2703,Rita H.,Roaldsen,{1997-2001}
2706,Rikke,Lind,{1997-2001}
2707,Ronald,Nielsen,{1997-2001}
2708,Roger,Skarvik,{1997-2001}
2709,Roy,Waage,{1997-2001}
2710,Randi,Røvik,{1997-2001}
2711,Roar,Raste,{1997-2001}
2712,Rune,Fadum,{1997-2001}
2713,Reidun,Vevle,{1997-2001}
2714,Robert,Wright,{1997-2001}
2715,Steinar,Aspli,{1997-2001}
2716,Sissel,Dagslet,{1997-2001}
2717,Siv Aase,Eggen,{1997-2001}
2718,Stein,Borkmo,{1997-2001}
2719,Svein Erik,Kristiansen,{1997-2001}
2721,Sidsel,Hansen,{1997-2001}
2723,Sigrunn,Heen,{1997-2001}
2724,Solfrid,Ballo,{1997-2001}
2725,Solfrid,Nilsen,{1997-2001}
2726,Sondre,Nordjordet,{1997-2001}
2727,Solbjørg,Nystad,{1997-2001}
2728,Svein Ottar,Sandal,{1997-2001}
2729,Svein H.,Antonsen,{1997-2001}
2730,Svein Erik,Brodal,{1997-2001}
2731,Svein,Helgesen,{1997-2001}
2732,Svein,Konstali,{1997-2001}
2733,Svein,Maalø,{1997-2001}
2734,Sylvia,Hammersvik,{1997-2001}
2735,Solveig Åsgard,Kleven,{1997-2001}
2736,Toril,Abrahamsen,{1997-2001}
2737,Torill B.,Høyland,{1997-2001}
2738,Christian,Svendsen,{1997-2001}
2739,Tor-Even,Heltorp,{1997-2001}
2741,Terje,Lillemo,{1997-2001}
2742,Tom,Forkerud,{1997-2001}
2743,Theis,Salvesen,{1997-2001}
2744,Thorbjørn,Merkesdal,{1997-2001}
2746,Torgny,Hagerup,{1997-2001}
2747,Torbjørg,Mydland,{1997-2001}
2748,Torger Johannes,Nilsen,{1997-2001}
2749,Tore,Arnegard,{1997-2001}
2750,Trine,Gjersøe,{1997-2001}
2751,Trond,Mathisen,{1997-2001}
2752,Thomas,Wetting,{1997-2001}
2753,Terje,Stenseng,{1997-2001}
2754,Terje,Søviknes,{1997-2001}
2756,Turid,Opedal,{1997-2001}
2757,Tore,Øvsthun,{1997-2001}
2758,Unn,Aarrestad,{1997-2001}
2759,Unni,Walaas,{1997-2001}
2760,Vibeke,Dalen,{1997-2001}
2761,Vigdis Hjulstad,Belbo,{1997-2001}
2763,Vivian Knarvik,Bugge,{1997-2001}
2764,Vanja Stenslie,Krakk,{1997-2001}
2765,Vedis,Vik,{1997-2001}
2766,Walther,Mainhard,{1997-2001}
2767,Yngve,Brox,{1997-2001}
2768,Øivind,Skjerve,{1997-2001}
2769,Øistein,Solgaard,{1997-2001}
2770,Åshild,Anmarkrud,{1997-2001}
2771,Åse,Sælensminde,{1997-2001}
2772,Åse Grønlien,Østmoe,{1997-2001}
2774,Anniken Kavli,Molland,{1997-2001}
2776,Benn,Mikalsen,{1997-2001}
2777,Bente,Nygård,{1997-2001}
2778,Borghild Winsnes,Malum,{1997-2001}
2781,Gro,Knudsen,{1997-2001}
2783,Hakon,Lunde,{1997-2001}
2784,Helge,Høva,{1997-2001}
2785,Inger,Eikesdal,{1997-2001}
2787,Inger Marie,Aurlien,{1997-2001}
2788,Inger-Marie,Ytterhorn,{1997-2001}
2791,Karen Irene,Stangeland,{1997-2001}
2792,Kari Oftedal,Lima,{1997-2001}
2793,Kai,Ekanger,{1997-2001}
2796,Leon,Bodd,{1997-2001}
2798,Liv Margrete,Dolve,{1997-2001}
2799,Magnar,Lussand,{1997-2001}
2800,Merete Skarhol,Gran,{1997-2001}
2802,Roy Vidar,Heia,{1997-2001}
2803,Svein,Brækken,{1997-2001}
2804,Sigrun S.,Natås,{1997-2001}
2805,Tore,Brokke,{1997-2001}
2806,Thorleif,Holth,{1997-2001}
2808,Tove Kari,Viken,{1997-2001}
